filename,entropy,block-frequency,chi-square,label
0001-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.950753567,0.696943874,276.5,1
0001-docx.docx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.955813072,0.088532402,249.75,1
0001-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.954321301,0.708960477,258.875,1
0001-pdf.pdf.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.955367524,0.337692644,248.375,1
0001-pptx.pptx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.951220013,0.785608414,269.625,1
0001-xls.xls.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.951828147,0.086288389,271.125,1
0001-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.950928376,0.402906718,277.125,1
0002-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.95098584,0.909288984,269.5,1
0002-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.951973718,0.271285277,265.5,1
0002-pptx.pptx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.948412124,0.27312508,285,1
0002-xls.xls.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.952178347,0.801795245,270.25,1
0002-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.945156086,0.846190452,309,1
0003-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.953106605,0.673788299,256.125,1
0003-docx.docx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.946591198,0.098409737,300.75,1
0003-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.96203947,0.455739827,212.625,1
0003-pdf.pdf.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.952714617,0.660137397,264.625,1
0003-xls.xls.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.956503636,0.856805687,246.75,1
0003-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.948943578,0.924942879,284.75,1
0004-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.948212857,0.742912359,295.625,1
0004-docx.docx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.955629926,0.145368372,249.375,1
0004-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.952156685,0.048786957,271.875,1
0004-xls.xls.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.956384336,0.533103074,245,1
0004-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.955388285,0.719595215,249.625,1
0005-docx.docx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.955840064,0.441678365,249,1
0005-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.947853756,0.500927043,290.375,1
0005-pptx.pptx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.95296121,0.285759184,255,1
0005-xls.xls.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.958056443,0.48488401,235.875,1
0005-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.956324537,0.362579508,247,1
0006-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.955881824,0.410344531,252.75,1
0006-docx.docx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.954781429,0.781391015,253.125,1
0006-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.959263362,0.978768541,227.875,1
0006-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.960426658,0.369221875,223.25,1
0007-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.955815109,0.863400423,246.5,1
0007-docx.docx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.953180808,0.107187066,263.75,1
0007-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.949185423,0.592506219,284.5,1
0007-pdf.pdf.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.950249575,0.022706322,279.75,1
0007-pptx.pptx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.958966244,0.960259869,227.25,1
0007-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.951332764,0.465604944,269.5,1
0008-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.956026577,0.183176168,248.375,1
0008-docx.docx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.958669188,0.644381345,232.5,1
0008-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.95306492,0.518675262,262.5,1
0008-pdf.pdf.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.952001082,0.785236073,269.125,1
0008-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.958429405,0.154181335,227.75,1
0009-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.958098397,0.157485407,233.625,1
0009-docx.docx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.95123679,0.106473334,282,1
0009-jpg-fromweb.jpg.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.952043415,0.253021699,269,1
0009-pdf.pdf.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.943579663,0.475505785,319,1
0009-pptx.pptx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.951031401,0.145368372,278.875,1
0009-xlsx.xlsx.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.951988085,0.435057066,274.25,1
0010-doc.doc.id-0481FA80.[paymentbtc@firemail.cc].cmb,7.961123714,0.572383221,223.25,1
